Id,Sales
1,4079.17916408181
24825,4530.68012266084
5993,3575.02395800754
37665,4902.13989118906
18833,3616.84575799075
12841,5083.53284509851
19689,3439.57700466127
857,4368.24366869259
15409,5264.74707785647
38521,5568.84789131173
13697,5221.24805699165
7705,3690.36927922225
39377,5612.51668932537
20545,3736.78958197357
1713,4728.66587943198
16265,4376.90676297782
33385,4834.69386908856
27393,5123.67034903
2569,5036.48393829602
40233,4842.47541086052
21401,4619.35884669119
35953,4473.14144105316
34241,4175.9577418123
3425,4807.45132102945
22257,3864.72999003669
9417,4178.35248587918
30817,3613.54882541609
10273,4200.97678290141
35097,4409.65283330795
23113,4211.55737738681
4281,4150.67191508273
14553,5656.62497878541
8561,4017.85305440388
29961,3516.41144706711
25681,4771.847455556
5137,3696.31643937066
23969,4408.07574295835
36809,4745.87784850617
17977,3563.54608664239
26537,5338.49171083795
11985,4745.43422563926
6849,3690.60867174148
17121,4042.00219724811
29105,3855.77077490513
32529,4007.77809841555
11129,4526.13592477602
31673,3654.1929150137
28249,4292.34911868282
23970,7485.77694236613
1714,8958.62716763448
24826,8065.72960402543
18834,5377.72236452373
38522,9929.69111281725
5994,5698.16043053538
35954,7534.45041844695
2,7268.7598612216
39378,4325.10627158937
4282,3889.69512787572
29106,5874.46350164466
8562,5867.06063487484
9418,3373.42924303334
25682,8626.44027769451
19690,5191.06025804689
34242,4065.12907725327
16266,4418.17887417222
22258,3639.70308933307
26538,9956.32981968745
20546,4953.24653595498
10274,3999.23119480817
30818,5740.51549209093
37666,8271.86941293148
33386,4057.07906514406
14554,11698.696185312
858,8037.10856527082
21402,3769.25025867792
2570,9632.6871827225
11130,7170.43478421705
5138,5701.98261713047
40234,4445.70881720303
32530,5895.09730081227
36810,8019.67261862178
11986,7669.29473832624
15410,4161.46324694727
35098,7395.99924134901
29962,5206.73070758023
23114,7092.05796848288
17978,5423.76106220736
31674,5824.49979397508
28250,3904.65468882332
6850,5852.76295408184
13698,8745.22025333645
27394,3915.67676741153
7706,5858.58848534712
