id,label
1,6
2,9
3,9
4,4
5,1
6,1
7,2
8,7
9,8
10,3
11,4
12,7
13,7
14,2
15,9
16,9
17,9
18,3
19,2
20,6
21,4
22,3
23,6
24,6
25,2
26,6
27,3
28,5
29,4
30,0
31,0
32,9
33,1
34,3
35,4
36,0
37,3
38,7
39,3
40,3
41,5
42,2
43,2
44,7
45,1
46,1
47,1
48,2
49,2
50,0
51,9
52,5
53,7
54,9
55,2
56,2
57,5
58,2
59,4
60,3
61,1
62,1
63,8
64,2
65,1
66,1
67,4
68,9
69,7
70,8
71,5
72,9
73,6
74,7
75,3
76,1
77,9
78,0
79,3
80,1
81,3
82,5
83,4
84,5
85,7
86,7
87,4
88,7
89,9
90,4
91,2
92,3
93,8
94,0
95,1
96,6
97,1
98,1
99,4
100,1
101,8
102,3
103,9
104,6
105,6
106,1
107,8
108,5
109,2
110,9
111,9
112,8
113,1
114,7
115,7
116,0
117,0
118,6
119,9
120,1
121,2
122,2
123,9
124,2
125,6
126,6
127,1
128,9
129,5
130,0
131,4
132,7
133,6
134,7
135,1
136,8
137,1
138,1
139,2
140,8
141,1
142,3
143,3
144,6
145,2
146,4
147,9
148,9
149,5
150,4
151,3
152,6
153,7
154,4
155,6
156,8
157,5
158,5
159,4
160,3
161,1
162,8
163,4
164,7
165,6
166,0
167,9
168,5
169,1
170,3
171,8
172,2
173,7
174,5
175,3
176,4
177,1
178,5
179,7
180,0
181,4
182,7
183,5
184,5
185,1
186,0
187,9
188,6
189,9
190,0
191,8
192,7
193,8
194,8
195,2
196,5
197,2
198,3
199,5
200,0
201,6
202,1
203,9
204,3
205,6
206,9
207,1
208,3
209,9
210,6
211,6
212,7
213,1
214,0
215,9
216,5
217,8
218,5
219,2
220,9
221,0
222,8
223,8
224,0
225,6
226,9
227,1
228,1
229,6
230,3
231,7
232,6
233,6
234,0
235,6
236,6
237,1
238,7
239,1
240,5
241,8
242,3
243,6
244,6
245,8
246,6
247,8
248,4
249,6
250,6
251,1
252,3
253,8
254,3
255,4
256,1
257,7
258,1
259,3
260,8
261,5
262,1
263,1
264,4
265,0
266,9
267,3
268,7
269,4
270,9
271,9
272,2
273,4
274,9
275,9
276,1
277,0
278,5
279,9
280,0
281,8
282,2
283,1
284,2
285,0
286,5
287,6
288,3
289,2
290,7
291,8
292,8
293,6
294,0
295,7
296,9
297,4
298,5
299,6
300,4
301,2
302,1
303,1
304,2
305,1
306,5
307,9
308,9
309,0
310,8
311,4
312,1
313,1
314,6
315,3
316,3
317,9
318,0
319,7
320,9
321,7
322,7
323,9
324,1
325,5
326,1
327,6
328,6
329,8
330,7
331,1
332,3
333,0
334,3
335,3
336,2
337,4
338,5
339,7
340,5
341,9
342,0
343,3
344,4
345,0
346,4
347,4
348,6
349,0
350,0
351,6
352,6
353,0
354,8
355,1
356,6
357,2
358,9
359,2
360,5
361,9
362,6
363,7
364,4
365,1
366,8
367,7
368,3
369,6
370,9
371,3
372,0
373,4
374,0
375,5
376,1
377,0
378,3
379,4
380,8
381,5
382,4
383,7
384,2
385,3
386,9
387,7
388,6
389,7
390,1
391,4
392,7
393,0
394,1
395,7
396,3
397,1
398,8
399,4
400,4
401,2
402,0
403,2
404,2
405,0
406,0
407,9
408,0
409,9
410,6
411,8
412,2
413,7
414,7
415,4
416,0
417,3
418,0
419,8
420,9
421,4
422,2
423,7
424,2
425,5
426,2
427,5
428,1
429,9
430,4
431,8
432,5
433,1
434,7
435,4
436,4
437,0
438,6
439,9
440,0
441,7
442,8
443,8
444,9
445,9
446,3
447,3
448,4
449,0
450,4
451,5
452,6
453,6
454,0
455,1
456,0
457,8
458,0
459,4
460,8
461,8
462,1
463,5
464,2
465,6
466,8
467,1
468,0
469,0
470,7
471,7
472,5
473,9
474,6
475,2
476,8
477,3
478,4
479,7
480,3
481,9
482,0
483,1
484,2
485,4
486,8
487,1
488,8
489,6
490,4
491,4
492,5
493,7
494,1
495,3
496,9
497,8
498,0
499,1
500,7
501,5
502,8
503,2
504,8
505,0
506,4
507,1
508,8
509,9
510,8
511,2
512,9
513,9
514,2
515,7
516,5
517,7
518,3
519,8
520,8
521,4
522,4
523,2
524,7
525,1
526,6
527,4
528,0
529,4
530,6
531,9
532,7
533,6
534,2
535,5
536,5
537,1
538,7
539,2
540,2
541,2
542,9
543,5
544,4
545,2
546,7
547,8
548,1
549,3
550,4
551,3
552,7
553,6
554,9
555,8
556,0
557,6
558,0
559,2
560,2
561,2
562,1
563,8
564,4
565,0
566,1
567,8
568,8
569,1
570,5
571,7
572,6
573,4
574,5
575,8
576,7
577,1
578,9
579,1
580,9
581,8
582,4
583,7
584,3
585,8
586,8
587,2
588,6
589,6
590,7
591,1
592,6
593,8
594,1
595,9
596,7
597,8
598,3
599,0
600,1
601,0
602,8
603,8
604,3
605,0
606,0
607,1
608,5
609,0
610,8
611,8
612,7
613,9
614,9
615,0
616,9
617,4
618,1
619,3
620,6
621,6
622,4
623,4
624,7
625,5
626,6
627,0
628,8
629,0
630,3
631,2
632,8
633,4
634,6
635,9
636,9
637,7
638,0
639,3
640,3
641,6
642,7
643,4
644,9
645,1
646,6
647,2
648,7
649,2
650,2
651,0
652,6
653,7
654,5
655,7
656,6
657,8
658,9
659,0
660,9
661,4
662,4
663,7
664,0
665,9
666,4
667,9
668,6
669,9
670,4
671,5
672,7
673,9
674,2
675,4
676,5
677,1
678,4
679,3
680,9
681,6
682,5
683,6
684,9
685,3
686,3
687,5
688,0
689,7
690,2
691,1
692,3
693,6
694,4
695,0
696,0
697,2
698,5
699,0
700,1
701,0
702,2
703,3
704,9
705,8
706,4
707,9
708,8
709,0
710,2
711,6
712,4
713,4
714,0
715,1
716,8
717,8
718,3
719,6
720,9
721,6
722,6
723,7
724,8
725,2
726,4
727,5
728,7
729,6
730,5
731,3
732,0
733,5
734,0
735,5
736,0
737,8
738,2
739,6
740,7
741,3
742,8
743,2
744,1
745,7
746,6
747,7
748,1
749,0
750,9
751,5
752,5
753,0
754,1
755,7
756,6
757,9
758,0
759,4
760,7
761,7
762,1
763,5
764,9
765,4
766,0
767,8
768,5
769,9
770,9
771,6
772,7
773,1
774,8
775,3
776,2
777,3
778,8
779,2
780,2
781,4
782,6
783,0
784,0
785,5
786,3
787,8
788,2
789,3
790,7
791,2
792,9
793,3
794,8
795,7
796,8
797,2
798,7
799,9
800,0
801,2
802,3
803,2
804,2
805,2
806,3
807,3
808,6
809,2
810,3
811,2
812,8
813,0
814,5
815,5
816,1
817,4
818,5
819,6
820,6
821,2
822,7
823,0
824,1
825,7
826,7
827,8
828,2
829,9
830,2
831,2
832,4
833,2
834,1
835,1
836,1
837,6
838,6
839,6
840,5
841,1
842,1
843,7
844,0
845,4
846,3
847,3
848,7
849,1
850,2
851,3
852,5
853,5
854,5
855,6
856,1
857,4
858,3
859,7
860,8
861,8
862,3
863,6
864,6
865,2
866,3
867,0
868,9
869,4
870,3
871,8
872,0
873,0
874,1
875,1
876,5
877,4
878,9
879,3
880,1
881,8
882,9
883,3
884,9
885,9
886,2
887,9
888,4
889,8
890,2
891,9
892,8
893,8
894,1
895,5
896,3
897,6
898,8
899,7
900,6
901,9
902,8
903,0
904,6
905,4
906,0
907,0
908,2
909,5
910,8
911,2
912,0
913,2
914,7
915,6
916,9
917,7
918,1
919,5
920,5
921,6
922,6
923,3
924,6
925,2
926,4
927,7
928,0
929,5
930,6
931,4
932,6
933,5
934,2
935,4
936,6
937,1
938,6
939,0
940,4
941,0
942,3
943,1
944,8
945,5
946,4
947,4
948,1
949,7
950,3
951,9
952,4
953,7
954,9
955,7
956,3
957,7
958,2
959,8
960,4
961,6
962,6
963,1
964,2
965,9
966,0
967,4
968,8
969,7
970,3
971,9
972,8
973,7
974,7
975,0
976,2
977,4
978,1
979,1
980,4
981,1
982,5
983,4
984,0
985,5
986,6
987,2
988,8
989,5
990,0
991,2
992,1
993,3
994,5
995,7
996,3
997,5
998,1
999,3
1000,5
1001,9
1002,4
1003,3
1004,2
1005,4
1006,4
1007,1
1008,4
1009,2
1010,2
1011,3
1012,8
1013,0
1014,6
1015,8
1016,5
1017,6
1018,6
1019,4
1020,7
1021,1
1022,1
1023,4
1024,6
1025,2
1026,3
1027,9
1028,6
1029,9
1030,1
1031,3
1032,6
1033,8
1034,5
1035,9
1036,6
1037,8
1038,1
1039,6
1040,0
1041,2
1042,3
1043,7
1044,9
1045,0
1046,9
1047,7
1048,6
1049,3
1050,9
1051,2
1052,6
1053,1
1054,6
1055,7
1056,3
1057,8
